,time,open,high,low,close,volume
6437,2022-11-09 17:46:00,176.85,176.85,176.7,176.7,4816
6438,2022-11-09 17:45:00,176.6401,176.85,176.6401,176.7288,4490
6439,2022-11-09 17:44:00,176.71,176.79,176.7,176.79,3417
6440,2022-11-09 17:43:00,176.9399,176.9399,176.7127,176.7127,5422
6441,2022-11-09 17:42:00,176.6213,176.9899,176.6213,176.9899,7115
6442,2022-11-09 17:41:00,176.49,176.6,176.48,176.6,6157
6443,2022-11-09 17:40:00,176.45,176.49,176.42,176.47,5101
6444,2022-11-09 17:39:00,176.44,176.5,176.42,176.45,2827
6445,2022-11-09 17:38:00,176.56,176.56,176.4,176.4,6360
6446,2022-11-09 17:37:00,176.48,176.5,176.4,176.4,4988
6447,2022-11-09 17:36:00,176.2201,176.5,176.2201,176.5,6745
6448,2022-11-09 17:35:00,176.2426,176.25,176.2,176.24,4002
6449,2022-11-09 17:34:00,176.21,176.25,176.2,176.2001,7952
6450,2022-11-09 17:33:00,176.18,176.26,176.18,176.25,4908
6451,2022-11-09 17:32:00,176.3,176.5,176.2,176.3,9302
6452,2022-11-09 17:31:00,176.15,176.35,176.15,176.25,7911
6453,2022-11-09 17:30:00,176.1,176.15,176.07,176.15,4920
6454,2022-11-09 17:29:00,176.0642,176.15,176.0642,176.1386,4656
6455,2022-11-09 17:28:00,176.15,176.15,176.05,176.1373,6395
6456,2022-11-09 17:27:00,176.13,176.215,176.0,176.04,8102
6457,2022-11-09 17:26:00,176.03,176.34,176.03,176.24,20850
6458,2022-11-09 17:25:00,175.96,176.0,175.9,176.0,7675
6459,2022-11-09 17:24:00,176.03,176.03,175.9,175.9,8469
6460,2022-11-09 17:23:00,176.08,176.08,176.0,176.01,13275
6461,2022-11-09 17:22:00,176.05,176.09,176.05,176.06,4694
6462,2022-11-09 17:21:00,176.06,176.09,176.01,176.08,10346
6463,2022-11-09 17:20:00,176.05,176.09,176.05,176.09,5580
6464,2022-11-09 17:19:00,176.06,177.59,176.0,176.05,442735
6465,2022-11-09 17:18:00,176.05,176.16,176.05,176.12,4083
6466,2022-11-09 17:17:00,176.05,176.19,176.05,176.06,6274
6467,2022-11-09 17:16:00,176.1448,176.1448,176.05,176.07,7194
6468,2022-11-09 17:15:00,176.1,176.2,176.1,176.111,7191
6469,2022-11-09 17:14:00,176.09,176.15,176.05,176.1,8897
6470,2022-11-09 17:13:00,176.05,176.09,176.05,176.09,7817
6471,2022-11-09 17:12:00,176.2,176.2,176.05,176.09,7047
6472,2022-11-09 17:11:00,176.1,176.2,175.99,176.1985,12046
6473,2022-11-09 17:10:00,175.9124,176.05,175.9,176.05,6176
6474,2022-11-09 17:09:00,176.08,176.08,175.9,175.99,12038
6475,2022-11-09 17:08:00,176.1884,176.1884,176.01,176.07,7875
6476,2022-11-09 17:07:00,176.2,176.3,176.07,176.12,10956
6477,2022-11-09 17:06:00,176.02,176.23,176.0111,176.07,18226
6478,2022-11-09 17:05:00,175.77,176.4,175.51,176.02,38444
6479,2022-11-09 17:04:00,175.74,175.86,175.51,175.7,28655
6480,2022-11-09 17:03:00,176.01,176.259,175.67,175.7,34844
6481,2022-11-09 17:02:00,176.46,176.46,176.0,176.01,30616
6482,2022-11-09 17:01:00,176.55,177.59,176.32,176.32,37600
6483,2022-11-09 17:00:00,176.7,176.7,176.44,176.57,10202
6484,2022-11-09 16:59:00,176.68,176.76,176.63,176.76,7294
6485,2022-11-09 16:58:00,176.83,176.83,176.69,176.69,6602
6486,2022-11-09 16:57:00,176.81,176.9199,176.75,176.85,6291
6487,2022-11-09 16:56:00,176.75,176.9185,176.7,176.9054,7800
6488,2022-11-09 16:55:00,176.66,176.7599,176.651,176.75,9791
